gene,weight
RTN4R,-0.014844846554735924
PHF23,-0.03335063841387842
CDH10,1.8329268613884526e-05
INPP4A,-0.8185291032655473
RAB27B,-0.01270595162218064
PSMA4,0.09935672374487137
MYO16,1.24832973208809e-06
LSG1,0.3960753076687432
PARP3,-0.0671341992573474
TNC,0.007883691935148067
THAP3,0.051796619141602385
RIPOR3,-1.5500294781278987e-05
TDP1,0.4164773818227393
AIFM2,0.11934473701311092
SPATA7,-0.027503386705223894
MED17,0.1595194885215725
RETSAT,-0.11280038464582709
CAPG,-0.8224913928406759
AP2S1,-0.35877396946699214
USH2A,-7.722360126969115e-06
