gene,my_score,author_coef,coef_sem,coef_rank,known_regulators,known,highlight
NCAPH2,-0.09623005,-0.0070492952125616,0.0009261105617832,0.6782985226693836,False,other,
NCBP3,-0.5947163,0.0038555948534676,0.0007510186254941,0.3354559347936831,False,other,
NCDN,0.21677382,-0.0115509219872309,0.0005707160893318,0.7947019867549668,False,other,
NCKAP1,-0.2536208,0.0047965747614361,0.000805270925831,0.3079470198675497,False,other,
NCKAP1L,-0.5126573,-0.0008584568621948,0.0006022579004599,0.4862455425369332,False,other,
NCLN,0.11668078,-0.0003449212190644,0.0007727557060695,0.467651553744269,False,other,
NCOA1,-0.004049789,0.0131333563564962,0.0006321809556759,0.1207335710646969,False,other,
NCOA5,0.1839963,-0.0028712367876219,0.0007240818969093,0.5534895568008151,False,other,
NCOA6,-0.4336964,-0.0283850356869926,0.000776819911343,0.9745287824758024,False,other,
NCOR1,-0.36055285,0.0077045759960165,0.001345060490686,0.2289862455425369,False,other,
NCR3,0.2923708,-0.004806805236496,0.0006760981700507,0.6115639327559858,False,other,
NCS1,0.020657757,-0.0136185517266997,0.0011408211601941,0.8374936321956189,False,other,
NDEL1,0.0069936216,-0.0062112700797909,0.000633556002345,0.651553744268976,False,other,
NDFIP2,-1.1884966,-0.0142081086632322,0.0005590831728528,0.8502292409577178,False,other,
NDOR1,-0.0029184595,0.025093664866852,0.0006848859616407,0.0178298522669383,False,other,
NDRG1,-0.38281596,-0.0370324185818493,0.0005177361633788,0.9926133469179826,False,other,
NDST2,0.5499958,-0.0156220106340731,0.0006144813013498,0.8708609271523179,False,other,
NDUFA10,0.3559619,0.0240219621331368,0.0004529321627547,0.0198675496688741,False,other,
NDUFA11,-0.1411902,0.0114131301223698,0.0009818854725123,0.1530820173204279,False,other,
NDUFA3,0.04468592,0.0026537308074817,0.0004942025347677,0.3708609271523179,False,other,
NDUFA5,-0.087650836,0.0005315229923593,0.0005319085982626,0.4391237901171676,False,other,
NDUFA6,-0.20783824,0.0125374195865289,0.0011664972892301,0.1321956189505858,False,other,
NDUFA8,-0.13315466,0.0215455885170301,0.0010516205419676,0.0300560366785532,False,other,
NDUFA9,0.008573994,0.0037436163890917,0.0010008117237784,0.3390219052470708,False,other,
NDUFAF3,0.1149558,0.0140441584319324,0.0007979223249602,0.1057055527254202,False,other,
NDUFAF5,0.030679397,0.0278145909027851,0.0005494177819844,0.0084055017829852,False,other,
NDUFAF6,0.19420448,0.0122519529967001,0.0009168424987499,0.1385634233316352,False,other,
NDUFB10,-0.06156958,0.0033687706323891,0.0006780348202856,0.3512480896586857,False,other,
NDUFB11,-0.15239006,0.0127371890153418,0.0009009674356714,0.1273560876209883,False,other,
NDUFB2,-0.11551885,0.0116689848768463,0.0010513742517275,0.1495160468670402,False,other,
NDUFB4,0.06170918,0.0044812437734714,0.0008327094831153,0.3158430973000509,False,other,
NDUFB6,0.1941781,0.0247397523727184,0.0006855482984102,0.0180845644421803,False,other,
