gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
FAM221A,0.103041165,,-0.0192876362876205,0.0,494.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
PEDS1-UBE2V1,0.10309636,,,4.0,164.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TPI1,0.10311692,,,198.0,91.0,1.0,True,False,False,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
TMEM19,0.10313055,1.0,0.0580303538594079,1.0,375.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TM2D1,0.1031706,0.3530514223639933,0.0643548253148133,333.0,650.0,2.0,False,True,False,False,False,novel,,0.4246,,activation,Stim8hr,T-cell-specific(measured),True,True
ZNF428,0.10318182,0.3751862214743686,0.0875020475493486,1.0,362.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CYB561D1,0.10319605,,,2.0,348.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SUGP1,0.103205845,,,106.0,276.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
PDXK,0.103230596,,0.167527536938921,0.0,592.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TMEM147,0.10324329,,-0.0016069864314107,0.0,809.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
WDR83OS,0.103250496,,,2.0,409.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ELK1,0.10325161,0.6827181516276326,0.0566824428279813,29.0,701.0,2.0,False,True,False,False,True,novel,,,,activation,Stim8hr,no-K562-data,True,False
SLC18B1,0.10335934,,0.0626533234435898,0.0,489.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
B3GAT3,0.103368714,,0.0432149813611889,0.0,680.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
PARP3,0.103415586,,,105.0,213.0,2.0,False,False,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
UBE3B,0.103421584,0.9827013118605988,0.0859519422589395,2.0,1141.0,2.0,False,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
RNF169,0.103531726,1.0,0.1204776697206296,0.0,606.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SDR39U1,0.10368244,0.6952798214173843,0.1480517760661311,13.0,478.0,2.0,False,True,False,False,False,novel,,0.1867,,activation,Stim8hr,T-cell-specific(measured),True,True
IRS2,0.103710115,,0.1391655236860037,2.0,652.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
THOC7,0.10372065,,,39.0,34.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SREBF2,0.103803016,0.8668713029489694,0.1375735133875331,11.0,344.0,2.0,False,True,False,False,False,novel,,0.719,cell-line-shared/generic,activation,Stim8hr,cell-line-shared/generic,False,False
NRDC,0.103829265,,,1.0,474.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
LRRC7,0.10385339,,0.0984731033090909,0.0,726.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SLC38A1,0.103866994,0.0497944703225093,0.0448952924840786,2.0,415.0,2.0,False,True,False,False,False,novel,,0.3082,,activation,Stim8hr,T-cell-specific(measured),True,True
UCP3,0.10387954,1.0,0.0557088806184771,2.0,740.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
KLHL11,0.10389543,,,7.0,466.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SGMS1,0.1039753,-0.1476118489635423,0.0392013331567189,2.0,576.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
